name,start,end,concert
Mozartfest,2022-06-19 00:00:00,2022-06-19 23:59:00,0
Umsonst & Draußen,2022-06-19 10:30:00,2022-06-19 22:00:00,0
Kiliani,2022-07-01 14:00:00,2022-07-02 01:00:00,0
Hofgarten Weinfest,2022-07-01 16:00:00,2022-07-01 23:59:59,0
Kiliani,2022-07-02 14:00:00,2022-07-03 01:00:00,0
Hofgarten Weinfest,2022-07-02 16:00:00,2022-07-02 23:59:59,0
Kiliani,2022-07-03 12:00:00,2022-07-04 01:00:00,0
Hofgarten Weinfest,2022-07-03 16:00:00,2022-07-03 23:59:59,0
Kiliani,2022-07-04 14:00:00,2022-07-04 23:59:59,0
Hofgarten Weinfest,2022-07-04 16:00:00,2022-07-04 23:59:59,0
Kiliani,2022-07-05 14:00:00,2022-07-05 23:59:59,0
Hofgarten Weinfest,2022-07-05 16:00:00,2022-07-05 23:59:59,0
Kiliani,2022-07-06 14:00:00,2022-07-06 23:59:59,0
Hofgarten Weinfest,2022-07-06 16:00:00,2022-07-06 23:59:59,0
Kiliani,2022-07-07 14:00:00,2022-07-07 23:59:59,0
Hofgarten Weinfest,2022-07-07 16:00:00,2022-07-07 23:59:59,0
Kiliani,2022-07-08 14:00:00,2022-07-09 01:00:00,0
Hofgarten Weinfest,2022-07-08 16:00:00,2022-07-08 23:59:59,0
Kiliani,2022-07-09 14:00:00,2022-07-10 01:00:00,0
Hofgarten Weinfest,2022-07-09 16:00:00,2022-07-09 23:59:59,0
Kiliani,2022-07-10 12:00:00,2022-07-11 01:00:00,0
Hofgarten Weinfest,2022-07-10 16:00:00,2022-07-10 23:59:59,0
Kiliani,2022-07-11 14:00:00,2022-07-11 23:59:59,0
Kiliani,2022-07-12 14:00:00,2022-07-12 23:59:59,0
Kiliani,2022-07-13 14:00:00,2022-07-13 23:59:59,0
Wein am Stein,2022-07-13 16:30:00,2022-07-13 23:59:59,0
Kiliani,2022-07-14 14:00:00,2022-07-14 23:59:59,0
Wein am Stein,2022-07-14 16:30:00,2022-07-14 23:59:59,0
Kiliani,2022-07-15 14:00:00,2022-07-16 01:00:00,0
Wein am Stein,2022-07-15 16:30:00,2022-07-15 23:59:59,0
Kiliani,2022-07-16 14:00:00,2022-07-17 01:00:00,0
Wein am Stein,2022-07-16 15:30:00,2022-07-16 23:59:59,0
Kiliani,2022-07-17 12:00:00,2022-07-18 01:00:00,0
